surface_name	site_name	species_name	formation_energy	frequencies	reference
Pd	b	NH2	0.468	0	Made for AOR.
Pd	b	pe-NH	1.266	0	Made for AOR.
Pd	b	pe-N	2.083	0	Made for AOR.
Pd	b	N	-3.44	0	Made for AOR.
Pd	db	N	-3.44	0	Made for AOR.
Pd	b	NH	1.198	0	Made for AOR.

Au	100	NH-NH	4.752	0	Proxy
Au	100	N-NH	6.08	0	scaling predicted
Au	100	N-N	6.69	0	scaling predicted
Au	100	NH2	1.033	0	Made for AOR.
Au	100	NH	2.509	0	Made for AOR.
Au	100	N	-1.67	0	Made for AOR.
Au	ds	N	-1.67	0	Made for AOR.
Au	100	NN	3.648	0	Made for AOR.
Au	100	NNH	3.580	0	Made for AOR.
Au	100	HNNH	3.211	0	Made for AOR.
Au	100	pe-NH	1.869	0	scaling predicted
Au	100	pe-N	3.644	0	scaling predicted
Au	b	NH2	1.033	0	Made for AOR.
Au	b	pe-NH	1.869	0	scaling predicted
Au	b	pe-N	3.258	0	scaling predicted
Au	b	NH	2.185	0	Made for AOR.
Au	b	N	-1.57	0	Made for AOR.
Au	db	N	-1.57	0	Made for AOR.

Ag	100	NH-NH	5.479	0	Proxy
Ag	100	N-NH	7.11	0	scaling predicted
Ag	100	N-N	7.67	0	scaling predicted
Ag	100	N	-1.88	0	Made for AOR.
Ag	ds	N	-1.88	0	Made for AOR.
Ag	100	NH	2.198	0	Made for AOR.
Ag	100	NN	3.101	0	Made for AOR.
Ag	100	NNH	3.750	0	Made for AOR.
Ag	100	HNNH	3.49	0	Made for AOR.
Ag	100	NH2	1.073	0	Made for AOR.
Ag	100	pe-NH	2.235	0	scaling predicted
Ag	100	pe-N	3.274	0	scaling predicted
Ag	b	NH2	1.073	0	Made for AOR.
Ag	b	pe-NH	2.235	0	scaling predicted
Ag	b	pe-N	3.826	0	scaling predicted
Ag	b	N	-0.91	0	Made for AOR.
Ag	db	N	-0.91	0	Made for AOR.
Ag	b	NH	2.662	0	Made for AOR.

Pt3RuCo	100	NH-NH	0.643	0	Proxy
Pt3RuCo	100	N-NH	1.081	0	Proxy
Pt3RuCo	100	N-N	1.856	0	Proxy
Pt3RuCo	100	NH3	-.048	0	Made for AOR.
Pt3RuCo	100	NH2	-.156	0	Made for AOR.
Pt3RuCo	100	NH	0.378	0	Made for AOR.
Pt3RuCo	100	N	0.582	0	Made for AOR.
Pt3RuCo	100	NN	0.986	0	Made for AOR.
Pt3RuCo	100	NNH	0.737	0	Made for AOR.
Pt3RuCo	100	HNNH	0.450	0	Made for AOR.
Pt3RuCo	100	pe-NH	0.678	0	Made for AOR.
Pt3RuCo	100	pe-N	1.107	0	Made for AOR.
Pt3RuCo	b	NH2	-.156	0	Made for AOR.
Pt3RuCo	b	pe-NH	0.678	0	Made for AOR.
Pt3RuCo	b	pe-N	0.801	0	Made for AOR.
Pt3RuCo	b	N	1.150	0	Made for AOR.
Pt3RuCo	b	NH	0.098	0	Made for AOR.

Rh	100	NH-NH	5.479	0	Proxy
Rh	100	N-NH	7.11	0	scaling predicted
Rh	100	N-N	7.67	0	scaling predicted
Rh	100	N	-4.82	0	Made for AOR.
Rh	ds	N	-4.82	0	Made for AOR.
Rh	100	NH	2.198	0	Made for AOR.
Rh	100	NN	3.101	0	Made for AOR.
Rh	100	NNH	3.750	0	Made for AOR.
Rh	100	HNNH	3.49	0	Made for AOR.
Rh	100	NH2	1.073	0	Made for AOR.
Rh	100	pe-NH	2.235	0	scaling predicted
Rh	100	pe-N	3.274	0	scaling predicted
Rh	b	NH2	1.073	0	Made for AOR.
Rh	b	pe-NH	2.235	0	scaling predicted
Rh	b	pe-N	3.826	0	scaling predicted
Rh	b	N	-4.51	0	Made for AOR.
Rh	db	N	-4.51	0	Made for AOR.
Rh	b	NH	2.662	0	Made for AOR.

Pt3RuCoV2	100	NH-NH	0.643	0	Proxy
Pt3RuCoV2	100	N-NH	1.081	0	Proxy
Pt3RuCoV2	100	N-N	1.856	0	Proxy
Pt3RuCoV2	100	NH3	-.048	0	Made for AOR.
Pt3RuCoV2	100	NH2	-.156	0	Made for AOR.
Pt3RuCoV2	100	NH	0.378	0	Made for AOR.
Pt3RuCoV2	100	N	0.384	0	Made for AOR.
Pt3RuCoV2	ds	N	-4.97	0	Made for AOR.
Pt3RuCoV2	100	NN	0.986	0	Made for AOR.
Pt3RuCoV2	100	NNH	0.737	0	Made for AOR.
Pt3RuCoV2	100	HNNH	0.450	0	Made for AOR.
Pt3RuCoV2	100	pe-NH	0.678	0	Made for AOR.
Pt3RuCoV2	100	pe-N	1.107	0	Made for AOR.
Pt3RuCoV2	b	NH2	-.156	0	Made for AOR.
Pt3RuCoV2	b	pe-NH	0.678	0	Made for AOR.
Pt3RuCoV2	b	pe-N	0.801	0	Made for AOR.
Pt3RuCoV2	b	N	0.266	0	Made for AOR.
Pt3RuCoV2	db	N	-5.09	0	Made for AOR.
Pt3RuCoV2	b	NH	0.098	0	Made for AOR.
